"","ï..Code","X","Espece","Groupe","Famille","Section","Statut_Qc","Port","Humidity","Substrate","Life_strategy","Wetland_status","Bryophyte.group","Life_form","Frequence_fen","Frequence_bog","Frequence_bog"
"37","SPH.pul",35,"Sphagnum pulchrum","Sphaigne","Sphagnaceae","Cuspidata",1,"Moss","yes","b","Shuttle","OBL","Sphagnum","Turf",52,13,13
"38","SPH.rip",36,"Sphagnum riparium","Sphaigne","Sphagnaceae","Cuspidata",1,"Moss","yes","a","Shuttle","OBL","Sphagnum","Turf",7,4,4
"39","SPH.rub",37,"Sphagnum rubellum","Sphaigne","Sphagnaceae","Acutifolia",1,"Moss","yes","b","Shuttle","OBL","Sphagnum","Turf",75,30,30
"40","SPH.rus",38,"Sphagnum russowii","Sphaigne","Sphagnaceae","Acutifolia",1,"Moss","no","d","Dominant","OBL","Sphagnum","Turf",14,54,54
"41","SPH.squ",39,"Sphagnum squarrosum ","Sphaigne","Sphagnaceae","Squarrosa",1,"Moss","yes","t","Shuttle","OBL","Sphagnum","Turf",40,6,6
"42","SPH.sub",41,"Sphagnum subsecundum","Sphaigne","Sphagnaceae","Subsecunda",1,"Moss","yes","b","Shuttle","OBL","Sphagnum","Turf",11,1,1
"43","SPH.subf",40,"Sphagnum subfulvum","Sphaigne","Sphagnaceae","Acutifolia",1,"Moss","yes","b","Shuttle","OBL","Sphagnum","Turf",72,1,1
"44","SPH.ten",42,"Sphagnum tenellum ","Sphaigne","Sphagnaceae","Cuspidata",1,"Moss","yes","r","Shuttle","OBL","Sphagnum","Turf",13,11,11
"45","SPH.ter",43,"Sphagnum teres","Sphaigne","Sphagnaceae","Squarrosa",1,"Moss","yes","b","Shuttle","OBL","Sphagnum","Turf",23,2,2
"46","SPH.war",44,"Sphagnum warnstorfii","Sphaigne","Sphagnaceae","Acutifolia",1,"Moss","yes","b","Shuttle","OBL","Acrocarpous","Turf",4,16,16
"47","SPH.wul",45,"Sphagnum wulfianum ","Sphaigne","Sphagnaceae","Acutifolia",1,"Moss","no","t","Shuttle","OBL","Sphagnum","Turf",10,4,4
"48","TOM.nit",47,"Tomentypnum nitens","Mousse","Amblystegiaceae","Mousse",1,"Moss","yes","b","Perennial","OBL","Pleurocarpous","Turf",4,6,6
