Espece;Code;Port;Max_height_cm;Seed_weight_mg;SLA_;Seed;Height;SLA
Solidago uliginosa;SOL.uli;Herbaceous;150;0.263749871;NA;Seed 1;Height 3;NA
Triantha glutinosa;TRI.glu;Herbaceous;50;0.066;NA;Seed 1;Height 2;NA
Trichophorum alpinum;TRI.alp;Herbaceous;40;0.203;9.43;Seed 1;Height 1;SLA 1
Trichophorum cespitosum;TRI.ces;Herbaceous;45;0.36;6.41;Seed 1;Height 1;SLA 1
Utricularia cornuta;UTR.cor;Herbaceous;30;0.43;NA;Seed 1;Height 1;NA
Utricularia intermedia;UTR.int;Herbaceous;20;NA;NA;Seed 1;Height 1;NA
Vaccinium angustifolium;VAC.ang;Shrub;60;0.23;26.86036727;Seed 1;Height 2;SLA 3
Vaccinium caespitosum;VAC.ces;Shrub;25;0.088462992;16.00458278;Seed 1;Height 1;SLA 2
Vaccinium myrtilloides;VAC.myr;Shrub;60;0.2018;13.72121648;Seed 1;Height 2;SLA 1
Viola macloskeyi;VIO.mac;Herbaceous;6;0.469;45.558131;Seed 1;Height 1;SLA 3
Carex bigelowii;CAR.big;Herbaceous;50;0.543655172;13.97191678;Seed 2;Height 2;SLA 1
Carex echinata subsp. echinata;CAR.ech.ech;Herbaceous;90;0.84;13.5;Seed 2;Height 2;SLA 1
Carex lasiocarpa subsp. americana;CAR.las.ame;Herbaceous;120;0.975;11.444;Seed 2;Height 3;SLA 1
Carex livida;CAR.liv;Herbaceous;55;0.550177664;NA;Seed 2;Height 2;NA
Carex pauciflora;CAR.pau;Herbaceous;40;0.717523469;19.45;Seed 2;Height 1;SLA 2
Carex trisperma;CAR.tris;Herbaceous;60;0.97;NA;Seed 2;Height 2;NA
Eriophorum gracile;ERI.gra;Herbaceous;60;0.521544702;NA;Seed 2;Height 2;NA
Eriophorum vaginatum subsp. spissum;ERI.vag;Herbaceous;60;0.75;10.97;Seed 2;Height 2;SLA 1
Eriophorum viridicarinatum;ERI.viri;Herbaceous;90;0.611;NA;Seed 2;Height 2;NA
Muhlenbergia uniflora;MUH.uni;Herbaceous;150;0.603864734;NA;Seed 2;Height 3;NA
Solidago macrophylla;SOL.mac;Herbaceous;105;0.834;29.288226;Seed 2;Height 3;SLA 3
Spiraea alba var. alba;SPI.alb.al;Shrub;200;0.8812;12.32;Seed 2;Height 3;SLA 1
Viola blanda;VIO.bla;Herbaceous;15;0.957;NA;Seed 2;Height 1;NA
Betula pumila var. pumila;BET.pum.pum;Shrub;400;0.5972;9.3;Seed 2;Height 3;SLA 1
Triglochin maritima;TRI.mar;Herbaceous;75;0.594769231;10.88763539;Seed 2;Height 2;SLA 1
Abies balsamea;ABI.bal;Tree;2500;7.579141995;15.7468994;Seed 3;Height 3;SLA 2
Aronia melanocarpa;ARO.mel;Shrub;200;1.37;9.732460824;Seed 3;Height 3;SLA 1
